%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
165557700961,4907,165557700961,map,0.0472597070038,0.0778120160103,0.0656416192651,0.00658742318289,-0.00110377805339,0.0179099239531,-0.999817360591
165589700961,4908,165589700961,map,0.0469078570604,0.0777349099517,0.065443828702,0.00659239107803,-0.00110193692758,0.0178919272488,-0.999817571325
165617696895,4909,165617696895,map,0.0465743988752,0.0776687338948,0.0650124922395,0.00660260806679,-0.00108871961003,0.0178695472722,-0.999817950647
165657696895,4910,165657696895,map,0.0462970919907,0.0774021968246,0.0647354424,0.00663123433801,-0.00108392474747,0.0178276111579,-0.999818498556
165689696895,4911,165689696895,map,0.0461929030716,0.077089227736,0.0646871626377,0.00661580068892,-0.00109622701742,0.0178417303522,-0.999818372115
165717704826,4912,165717704826,map,0.0457985550165,0.0773530825973,0.0642022266984,0.00662588201752,-0.00106986185877,0.0178625087485,-0.999817992794
165757704826,4913,165757704826,map,0.0452407412231,0.0778194591403,0.0637204647064,0.00664327878779,-0.00106565771063,0.0178629723638,-0.999817866353
165789704826,4914,165789704826,map,0.0449377819896,0.0780086293817,0.0634713470936,0.00665258764368,-0.00109202682055,0.0178620029863,-0.999817824206
165817700754,4915,165817700754,map,0.0446669906378,0.078203715384,0.0628846511245,0.00663528932582,-0.00111702154808,0.0178621715737,-0.999817824206
165857700754,4916,165857700754,map,0.0444315187633,0.0782752335072,0.0625168532133,0.00663700565744,-0.00114672700911,0.0178715703209,-0.999817613472
165889700754,4917,165889700754,map,0.0443434379995,0.078190036118,0.0624389909208,0.00664134809993,-0.0011367395231,0.0178682407199,-0.999817655619
165917708679,4918,165917708679,map,0.0440878681839,0.0781574174762,0.0618851035833,0.0066329997312,-0.00113442078789,0.0178687464821,-0.999817739913
165957708679,4919,165957708679,map,0.0434206351638,0.0780398473144,0.0613901056349,0.00664939798336,-0.00109673442597,0.0178797468095,-0.999817444885
165989708679,4920,165989708679,map,0.0430482923985,0.0778349712491,0.0613559745252,0.00664885204996,-0.00110281542595,0.0178770072644,-0.999817487032
